States,Area,1981,1991,2001,2005,2006,2007,2008,2009,2010,2011,2012
INDIA,Total,33.9,29.5,25.4,23.8,23.5,23.1,22.8,22.5,22.1,21.8,21.6
INDIA,Rural,35.6,30.9,27.1,25.6,25.2,24.7,24.4,24.1,23.7,23.3,23.1
INDIA,Urban,27,24.3,20.3,19.1,18.8,18.6,18.5,18.3,18,17.6,17.4
Andhra Pradesh,Total,31.7,26,21,19.1,18.9,18.7,18.4,18.3,17.9,17.5,17.5
Andhra Pradesh,Rural,32.7,26.5,21.4,20.1,19.8,19.5,19.1,18.8,18.3,17.8,17.9
Andhra Pradesh,Urban,27.5,24.4,19.7,16.7,16.5,16.7,16.8,17,16.7,16.6,16.6
Assam,Total,33,30.9,27,25,24.6,24.3,23.9,23.6,23.2,22.8,22.5
Assam,Rural,33.8,31.7,27.9,26.6,26.1,25.7,25.3,24.9,24.4,24,23.7
Assam,Urban,23.2,21.3,18.6,15.3,15.4,15.5,15.7,15.9,15.8,15.5,15.6
Bihar,Total,39.1,30.7,31.2,30.4,29.9,29.4,28.9,28.5,28.1,27.7,27.7
Bihar,Rural,39.7,31.3,32.3,31.2,30.7,30.2,29.7,29.3,28.8,28.4,28.4
Bihar,Urban,33.9,25.5,23.4,23.8,23,22.9,22.5,22.2,22,21.7,21.6
Chhatisgarh,Total,NA,NA,26.5,27.2,26.9,26.5,26.1,25.7,25.3,24.9,24.5
Chhatisgarh,Rural,NA,NA,29.1,29,28.5,28,27.6,27.2,26.8,26.3,26
Chhatisgarh,Urban,NA,NA,22.5,20,19.9,19.6,19.3,19,18.6,18.3,18
Gujarat,Total,34.5,27.5,25,23.7,23.5,23,22.6,22.3,21.8,21.3,21.1
Gujarat,Rural,36.1,28.2,26.7,25.5,25,24.5,24.1,23.8,23.3,22.9,22.5
Gujarat,Urban,29.8,25.9,21.5,21,21.1,20.7,20.3,19.9,19.4,19,18.7
Haryana,Total,36.5,33.1,26.8,24.3,23.9,23.4,23,22.7,22.3,21.8,21.6
Haryana,Rural,37.8,34.7,27.9,25.7,25.1,24.5,24.2,23.8,23.3,22.9,22.6
Haryana,Urban,29.6,27.2,22.9,21,21.1,20.8,20.4,20.1,19.8,19.5,19.2
Himachal Pradesh,Total,31.5,28.5,21.2,20,18.8,17.4,17.7,17.2,16.9,16.5,16.2
Himachal Pradesh,Rural,32.4,29.2,21.5,20.7,19.5,17.9,18.2,17.8,17.5,17.1,16.7
Himachal Pradesh,Urban,17.3,18.6,17.1,13.3,12.4,12.6,12.1,11.7,11.5,11.2,11
Jammu and Kashmir,Total,31.6,NA,20.2,18.9,18.7,19,18.8,18.6,18.3,17.8,17.6
Jammu and Kashmir,Rural,33.9,NA,21.1,20.2,20,20.4,20.2,19.9,19.5,19.1,18.8
Jammu and Kashmir,Urban,21.4,NA,16.4,14.3,14.2,14.1,14,13.7,13.5,13.1,12.8
Jharkhand,Total,NA,NA,26.2,26.8,26.2,26.1,25.8,25.6,25.3,25,24.7
Jharkhand,Rural,NA,NA,28.3,28.8,28,27.8,27.5,27.1,26.7,26.3,26.1
Jharkhand,Urban,NA,NA,19.5,18.7,18.8,19,18.9,19.2,19.3,19,18.7
Karnataka,Total,28.3,26.9,22.2,20.6,20.1,19.9,19.8,19.5,19.2,18.8,18.5
Karnataka,Rural,29.2,27.9,23.6,22.1,21.5,21.2,20.9,20.6,20.2,19.7,19.4
Karnataka,Urban,25.7,24,19,17.9,17.7,17.5,17.9,17.6,17.5,17.2,16.9
Kerala,Total,25.6,18.3,17.3,15,14.9,14.7,14.6,14.7,14.8,15.2,14.9
Kerala,Rural,26,18.4,17.4,15.1,15,14.8,14.6,14.6,14.8,15.4,15.1
Kerala,Urban,23.5,18.1,16.7,14.8,14.6,14.5,14.6,14.9,14.8,14.4,14.2
Madhya Pradesh,Total,37.6,35.8,31,29.4,29.1,28.5,28,27.7,27.3,26.9,26.6
Madhya Pradesh,Rural,38.8,37.3,32.9,31.6,31.2,30.5,30,29.7,29.2,28.8,28.5
Madhya Pradesh,Urban,31.4,29.7,23.1,22,21.9,21.5,21.1,20.8,20.5,20.1,19.8
Maharashtra,Total,28.5,26.2,20.7,19,18.5,18.1,17.9,17.6,17.1,16.7,16.6
Maharashtra,Rural,30.4,28,21.1,19.6,19.2,18.7,18.4,18.1,17.6,17.3,17.4
Maharashtra,Urban,24.5,22.9,20.2,18.2,17.5,17.3,17.2,16.9,16.4,15.8,15.5
Manipur,Total,26.6,20.1,18.3,14.7,13.4,14.6,15.8,15.4,14.9,14.4,14.6
Manipur,Rural,26.8,20.7,19,14.5,13.5,14.4,15.9,15.4,14.8,14.2,14.4
Manipur,Urban,24.4,18,16.1,15.5,13.1,15.2,15.7,15.5,15.3,15,15.2
Meghalaya,Total,32.6,32.4,28.3,25.1,24.7,24.4,25.2,24.4,24.5,24.1,24.1
Meghalaya,Rural,35,35.4,30.7,27.3,26.4,26.1,27.3,26.4,26.6,26.2,26.2
Meghalaya,Urban,18.5,18.7,15,15.1,17.1,17,15.6,15,14.8,14.6,14.4
Mizoram,Total,NA,NA,15.7,18.8,17.8,18.2,17.8,17.6,17.1,16.6,16.3
Mizoram,Rural,NA,NA,17.7,23.2,21.6,22.5,22,21.7,21.1,20.6,20.2
Mizoram,Urban,NA,NA,13.2,14.4,14,13.7,13.4,13.2,13,12.6,12.2
Nagaland,Total,NA,18.5,NA,16.4,17.3,17.4,17.5,17.2,16.8,16.1,15.6
Nagaland,Rural,21.4,20.4,NA,16.5,16.8,17.7,17.8,17.4,17,16.3,15.7
Nagaland,Urban,NA,10.1,12.4,16.1,19.2,16.1,16.4,16.3,16,15.5,15.1
Odisha,Total,33.1,28.8,23.5,22.3,21.9,21.5,21.4,21,20.5,20.1,19.9
Odisha,Rural,33.4,29.6,24,23.2,22.8,22.4,22,21.9,21.4,21,20.8
Odisha,Urban,29.3,21.6,19.7,16.3,16.2,16.1,16,15.7,15.2,14.7,14.6
Punjab,Total,30.3,27.7,21.2,18.1,17.8,17.6,17.3,17,16.6,16.2,15.9
Punjab,Rural,30.8,28.5,22.1,18.8,18.4,18.3,18,17.7,17.2,16.8,16.5
Punjab,Urban,28.5,25.6,18.7,17,16.8,16.4,16.1,15.8,15.6,15.2,14.8
Rajasthan,Total,37.1,35,31.1,28.6,28.3,27.9,27.5,27.2,26.7,26.2,25.9
Rajasthan,Rural,38.3,36,32.4,30.2,29.7,29.2,28.8,28.4,27.9,27.4,27
Rajasthan,Urban,31.2,30.3,24.8,23.8,23.9,23.7,23.5,23.2,22.9,22.5,22.1
Sikkim,Total,31,22.5,21.6,19.9,19.2,18.1,18.4,18.1,17.8,17.6,17.2
Sikkim,Rural,32.2,24.2,21.8,20.2,19.5,18.2,18.7,18.4,18.1,17.7,17.3
Sikkim,Urban,26.6,14.4,16.7,18,17.7,17.5,16.6,16,16.1,16.6,16.7
Tamil Nadu,Total,28,20.8,19.1,16.5,16.2,15.8,16,16.3,15.9,15.9,15.7
Tamil Nadu,Rural,29.7,20.8,19.6,16.9,16.5,16,16.2,16.5,16,16,15.8
Tamil Nadu,Urban,23.9,20.8,17.8,16,15.9,15.5,15.8,16,15.8,15.7,15.6
Tripura,Total,26.4,24.4,16.1,16,16.6,17.1,15.4,14.8,14.9,14.3,13.9
Tripura,Rural,27.6,25.4,16.6,16.5,17.3,17.9,16.1,15.5,15.6,15.1,14.6
Tripura,Urban,14.8,15.5,13.5,13.8,13.4,13.5,12,11.6,11.5,11,10.7
Uttarakhand,Total,NA,NA,18.5,20.9,21,20.4,20.1,19.7,19.3,18.9,18.5
Uttarakhand,Rural,NA,NA,21.1,22.1,22,21.3,21,20.6,20.2,19.7,19.1
Uttarakhand,Urban,NA,NA,16.6,16.6,17.3,17,16.5,16.3,16.2,16,15.9
Uttar Pradesh,Total,39.6,35.7,32.1,30.4,30.1,29.5,29.1,28.7,28.3,27.8,27.4
